station_id,station_name,station_address,station_position,station_externalid,url
40895,15049 - PORTE DE VERSAILLES,2 AVENUE ERNEST RENAN - 75015 PARIS,"(48.8321794442604,2.28712226198256)",15049,http://velibs.github.io/data/png/40895.png
41435,11004 - CHARONNE SAINT ANTOINE,3 RUE DE CHARONNE - 75011 PARIS,"(48.8522552900425,2.37402723561374)",11004,http://velibs.github.io/data/png/41435.png
41847,19116 - JAURES VILLETTE,180 BOULEVARD DE LA VILLETTE - 75019 PARIS,"(48.881472498481,2.37026248225988)",19116,http://velibs.github.io/data/png/41847.png
41850,22006 - PIERRET (NEUILLY),33 RUE PIERRET - 92200 NEUILLY SUR SEINE,"(48.8830266591596,2.26009698393187)",22006,http://velibs.github.io/data/png/41850.png
42560,07026 - PLACE DE FINLANDE,39 QUAI D'ORSAY - 75007 PARIS,"(48.86269,2.31138)",7026,http://velibs.github.io/data/png/42560.png
42563,44102 - VERDUN (SAINT MAURICE),14 avenue de Verdun - 94410 SAINT MAURICE,"(48.8221758049375,2.42150447606237)",44102,http://velibs.github.io/data/png/42563.png
43612,05007 - ECOLES CARMES,39 RUE DES ECOLES - 75005 PARIS,"(48.8489190079083,2.34720132952048)",5007,http://velibs.github.io/data/png/43612.png
43724,34005 - LESENNE (SAINT OUEN),44 RUE ADRIEN LESENNE - 93400 SAINT OUEN,"(48.9025532782227,2.34827493630495)",34005,http://velibs.github.io/data/png/43724.png
43629,18049 - PTE D'AUBERVILLIERS,3-5 BOULEVARD NEY - 75018 PARIS,"(48.8984521733198,2.36960946333546)",18049,http://velibs.github.io/data/png/43629.png
43644,13027 - MAZAGRAND COUBERTIN,AVENUE DE LA PORTE DE GENTILLY - 75013 PARIS,"(48.816258257226,2.34418192298955)",13027,http://velibs.github.io/data/png/43644.png
41106,15037 - GROULT,202 RUE LECOURBE - 75015 PARIS,"(48.8404161884088,2.29546490651511)",15037,http://velibs.github.io/data/png/41106.png
43391,10027 - DUNKERQUE,4 RUE DE DUNKERQUE - 75010 PARIS,"(48.8793551031739,2.35837919245454)",10027,http://velibs.github.io/data/png/43391.png
41848,34010 - DIDEROT 2 (SAINT OUEN),FACE 61-63 RUE DIDEROT- 93400 SAINT OUEN,"(48.9115704593083,2.33391012712922)",34010,http://velibs.github.io/data/png/41848.png
42338,15006 - CHERCHE MIDI,FACE AU 138 RUE DU CHERCHE MIDI - 75015 PARIS,"(48.8445759639333,2.31775657923202)",15006,http://velibs.github.io/data/png/42338.png
42960,17024 - VILLIERS,1/3 PLACE PROSPER GOUBAUX - 75017 PARIS,"(48.881208332796,2.31644964079872)",17024,http://velibs.github.io/data/png/42960.png
42961,20033 - ETIENNE DOLET,29 RUE ETIENNE DOLLET - 75020 PARIS,"(48.8680494102479,2.3851330976189)",20033,http://velibs.github.io/data/png/42961.png
42984,21008 - HUGO (BOULOGNE-BILLANCOURT),74 AVENUE VICTOR HUGO - 92100 BOULOGNE-BILLANCOURT,"(48.8379233147709,2.2460641515441)",21008,http://velibs.github.io/data/png/42984.png
42981,01025 - TEMPLE DE L'ORATOIRE,2 RUE DE L'ORATOIRE - 75001 PARIS,"(48.8613894682984,2.34005523281748)",1025,http://velibs.github.io/data/png/42981.png
42349,14032 - MOUTON DUVERNET - MAIRIE DU 14EME,26 RUE MOUTON DUVERNET - 75014 PARIS,"(48.8325012787035,2.32540116669297)",14032,http://velibs.github.io/data/png/42349.png
41391,16016 - PAUL DOUMER / LA TOUR,53 AVENUE PAUL DOUMER - 75016 PARIS,"(48.8601161096266,2.28084048191106)",16016,http://velibs.github.io/data/png/41391.png
40952,11001 - BASTILLE RICHARD LENOIR,2 BOULEVARD RICHARD LENOIR - 75011 PARIS,"(48.853848226211,2.3697014882175)",11001,http://velibs.github.io/data/png/40952.png
42765,23011 - BINEAU (LEVALLOIS),16 BOULEVARD BINEAU - 92300 LEVALLOIS-PERRET,"(48.8866813724989,2.28402369121817)",23011,http://velibs.github.io/data/png/42765.png
40726,09019 - VICTOR MASSE,38 RUE VICTOR MASSE - 75009 PARIS,"(48.881149033953,2.33668100429512)",9019,http://velibs.github.io/data/png/40726.png
40830,15036 - LAMBERT,102 RUE DE LA CROIX NIVERT - 75015 PARIS,"(48.8430763869499,2.29514141310447)",15036,http://velibs.github.io/data/png/40830.png
40851,14029 - GERGOVIE VERCINGETORIX,112 RUE VERCINGETORIX - 75014 PARIS,"(48.8342592499304,2.31339164711325)",14029,http://velibs.github.io/data/png/40851.png
41068,43005 - AUBERT (VINCENNES),18 AVENUE AUBERT - 94300 VINCENNES,"(48.8475504363108,2.43343260792337)",43005,http://velibs.github.io/data/png/41068.png
40652,09021 - SAINT GEORGES,56 RUE SAINT GEORGES - 75009 PARIS,"(48.877872278318,2.33744680420367)",9021,http://velibs.github.io/data/png/40652.png
40651,12124 - PYRAMIDE ARTILLERIE,ROUTE DE L'ARTILLERIE - 75012 PARIS,"(48.8390411459082,2.43765533908295)",12124,http://velibs.github.io/data/png/40651.png
40655,07007 - MUSÉE D'ORSAY,62 RUE DE LILLE - 75007 PARIS,"(48.859710104435,2.32580902462503)",7007,http://velibs.github.io/data/png/40655.png
40657,20011 - PYRÉNÉES-DAGORNO,103 RUE DES PYRENNEES - 75020 PARIS,"(48.8555013539889,2.40516852063917)",20011,http://velibs.github.io/data/png/40657.png
40664,11029 - MENILMONTANT OBERKAMPF,137 BOULEVARD MENILMONTANT - 75011 PARIS,"(48.8666176586814,2.38301344041578)",11029,http://velibs.github.io/data/png/40664.png
40660,05005 - SAINT JACQUES GAY LUSSAC,27 RUE GAY LUSSAC - 75005 PARIS,"(48.8447302561321,2.34192394486641)",5005,http://velibs.github.io/data/png/40660.png
40659,33006 - KARMAN (AUBERVILLIERS),FACE 143 RUE ANDRE KARMAN - 93300 AUBERVILLIERS,"(48.9101436710038,2.38505201824411)",33006,http://velibs.github.io/data/png/40659.png
